Product Name,Category,Al-Sater Price (BHD),Al-Hali Supermarket Price (BHD),Lulu Hypermarket Price (BHD)
Large Bar Toblerone,Chocolates & Sweets,0.823,0.787,0.746
Milk Chocolate Toblerone,Chocolates & Sweets,1.105,1.119,1.052
Double Fingers Bounty,Chocolates & Sweets,1.143,1.107,1.071
With Caramel KitKat,Chocolates & Sweets,1.410,1.412,1.328
Mini Bag Bounty,Chocolates & Sweets,1.211,1.162,1.140
Double Fingers Toblerone,Chocolates & Sweets,0.922,0.919,0.847
Medium Bar Maltesers,Chocolates & Sweets,0.373,0.375,0.358
Single Piece Galaxy,Chocolates & Sweets,0.849,0.827,0.844
Large Bar Maltesers,Chocolates & Sweets,0.730,0.744,0.718
Mini Bag Twix,Chocolates & Sweets,1.234,1.218,1.170
Milk Chocolate Galaxy,Chocolates & Sweets,0.259,0.261,0.246
With Hazelnut KitKat,Chocolates & Sweets,1.135,1.148,1.040
With Caramel Toblerone,Chocolates & Sweets,1.164,1.167,1.159
Milk Chocolate Kinder,Chocolates & Sweets,0.531,0.516,0.491
With Hazelnut Toblerone,Chocolates & Sweets,1.466,1.436,1.382
Single Piece Flake,Chocolates & Sweets,0.238,0.235,0.215
Medium Bar Bounty,Chocolates & Sweets,1.374,1.321,1.310
Double Fingers KitKat,Chocolates & Sweets,0.267,0.259,0.260
Mini Bag M&Ms,Chocolates & Sweets,0.323,0.330,0.303
With Hazelnut Maltesers,Chocolates & Sweets,0.501,0.505,0.500
Chocolate Balls Snickers,Chocolates & Sweets,1.033,0.998,0.988
Large Bar Mars,Chocolates & Sweets,1.462,1.460,1.367
Regular Fingers Flake,Chocolates & Sweets,0.354,0.343,0.327
Single Piece Cadbury,Chocolates & Sweets,0.908,0.901,0.828
Milk Chocolate Snickers,Chocolates & Sweets,0.882,0.894,0.842
Single Piece Snickers,Chocolates & Sweets,0.455,0.463,0.429
Medium Bar Twix,Chocolates & Sweets,1.047,1.013,0.953
Double Fingers Mars,Chocolates & Sweets,0.886,0.846,0.843
Milk Chocolate Toblerone,Chocolates & Sweets,1.470,1.490,1.396
Chocolate Balls Cadbury,Chocolates & Sweets,0.372,0.363,0.363
With Hazelnut Galaxy,Chocolates & Sweets,0.320,0.321,0.293
With Caramel M&Ms,Chocolates & Sweets,0.906,0.915,0.866
With Caramel Snickers,Chocolates & Sweets,0.277,0.271,0.257
Mini Bag Maltesers,Chocolates & Sweets,1.228,1.203,1.161
Medium Bar M&Ms,Chocolates & Sweets,0.276,0.272,0.254
Milk Chocolate Toblerone,Chocolates & Sweets,0.277,0.271,0.270
Chocolate Balls Twix,Chocolates & Sweets,0.572,0.573,0.526
Medium Bar Kinder,Chocolates & Sweets,0.363,0.365,0.355
Large Bar Cadbury,Chocolates & Sweets,0.640,0.654,0.587
Regular Fingers Galaxy,Chocolates & Sweets,0.957,0.912,0.896
Chocolate Balls Toblerone,Chocolates & Sweets,0.744,0.743,0.676
Double Fingers Flake,Chocolates & Sweets,1.456,1.432,1.454
Medium Bar Twix,Chocolates & Sweets,0.374,0.382,0.353
Chocolate Balls Cadbury,Chocolates & Sweets,0.906,0.899,0.881
Milk Chocolate Snickers,Chocolates & Sweets,0.257,0.259,0.236
Mini Bag Flake,Chocolates & Sweets,1.390,1.333,1.357
Medium Bar Flake,Chocolates & Sweets,1.259,1.242,1.178
Single Piece Snickers,Chocolates & Sweets,1.268,1.239,1.163
With Hazelnut Twix,Chocolates & Sweets,0.268,0.270,0.252
With Caramel Snickers,Chocolates & Sweets,1.149,1.109,1.105
Single Piece Cadbury,Chocolates & Sweets,1.146,1.163,1.128
Large Bar M&Ms,Chocolates & Sweets,0.192,0.194,0.175
With Hazelnut Mars,Chocolates & Sweets,0.155,0.156,0.142
Regular Fingers Bounty,Chocolates & Sweets,1.280,1.245,1.234
Milk Chocolate Bounty,Chocolates & Sweets,0.842,0.820,0.776
With Caramel Mars,Chocolates & Sweets,0.560,0.561,0.557
Regular Fingers Toblerone,Chocolates & Sweets,1.184,1.199,1.144
Large Bar Snickers,Chocolates & Sweets,1.375,1.380,1.315
Medium Bar M&Ms,Chocolates & Sweets,0.754,0.744,0.744
Large Bar Kinder,Chocolates & Sweets,0.707,0.717,0.670
With Caramel KitKat,Chocolates & Sweets,0.719,0.685,0.717
With Caramel Galaxy,Chocolates & Sweets,0.544,0.556,0.531
Mini Bag Flake,Chocolates & Sweets,1.475,1.475,1.410
Double Fingers Toblerone,Chocolates & Sweets,0.869,0.870,0.821
Single Piece Kinder,Chocolates & Sweets,0.312,0.298,0.289
Regular Fingers Flake,Chocolates & Sweets,0.783,0.763,0.752
With Caramel Mars,Chocolates & Sweets,0.555,0.560,0.502
With Hazelnut Bounty,Chocolates & Sweets,1.334,1.303,1.246
Double Fingers Kinder,Chocolates & Sweets,0.867,0.882,0.805
Large Bar Toblerone,Chocolates & Sweets,0.511,0.518,0.489
Chocolate Balls Twix,Chocolates & Sweets,0.491,0.475,0.466
With Caramel Twix,Chocolates & Sweets,1.378,1.383,1.354
Regular Fingers Kinder,Chocolates & Sweets,0.184,0.185,0.167
With Caramel Galaxy,Chocolates & Sweets,0.610,0.588,0.559
Large Bar Twix,Chocolates & Sweets,0.751,0.761,0.724
Double Fingers Cadbury,Chocolates & Sweets,0.328,0.318,0.321
Single Piece Mars,Chocolates & Sweets,0.505,0.491,0.478
Regular Fingers Flake,Chocolates & Sweets,0.513,0.504,0.507
Regular Fingers Snickers,Chocolates & Sweets,0.204,0.204,0.202
Milk Chocolate Mars,Chocolates & Sweets,1.462,1.428,1.386
Large Bar Kinder,Chocolates & Sweets,0.754,0.745,0.723
Regular Fingers Galaxy,Chocolates & Sweets,0.160,0.155,0.145
Regular Fingers Toblerone,Chocolates & Sweets,0.607,0.616,0.581
Single Piece Maltesers,Chocolates & Sweets,1.408,1.382,1.279
Regular Fingers Flake,Chocolates & Sweets,0.304,0.297,0.289
Double Fingers Flake,Chocolates & Sweets,0.816,0.821,0.815
With Hazelnut KitKat,Chocolates & Sweets,0.719,0.707,0.712
Regular Fingers Twix,Chocolates & Sweets,1.262,1.295,1.239
With Caramel Kinder,Chocolates & Sweets,1.009,0.963,0.934
Regular Fingers Cadbury,Chocolates & Sweets,0.965,0.970,0.880
Mini Bag KitKat,Chocolates & Sweets,0.648,0.622,0.610
Regular Fingers Bounty,Chocolates & Sweets,0.246,0.235,0.230
Medium Bar Cadbury,Chocolates & Sweets,1.053,1.058,0.986
Milk Chocolate M&Ms,Chocolates & Sweets,0.828,0.796,0.755
Large Bar Cadbury,Chocolates & Sweets,1.127,1.082,1.116
Large Bar Galaxy,Chocolates & Sweets,0.871,0.837,0.785
Large Bar Toblerone,Chocolates & Sweets,0.756,0.723,0.711
Chocolate Balls Twix,Chocolates & Sweets,1.241,1.200,1.175
With Caramel Kinder,Chocolates & Sweets,0.241,0.236,0.237
Large Bar Bounty,Chocolates & Sweets,0.255,0.253,0.251
Medium Bar Toblerone,Chocolates & Sweets,0.669,0.660,0.641
Double Fingers Flake,Chocolates & Sweets,0.580,0.578,0.544
Single Piece Flake,Chocolates & Sweets,1.103,1.109,1.034
Chocolate Balls Kinder,Chocolates & Sweets,1.022,0.975,0.998
Large Bar Bounty,Chocolates & Sweets,0.184,0.184,0.177
Regular Fingers M&Ms,Chocolates & Sweets,0.287,0.292,0.274
With Hazelnut Bounty,Chocolates & Sweets,1.484,1.464,1.438
Chocolate Balls Snickers,Chocolates & Sweets,0.458,0.471,0.437
Milk Chocolate Bounty,Chocolates & Sweets,0.203,0.193,0.191
Large Bar Maltesers,Chocolates & Sweets,0.182,0.184,0.172
Chocolate Balls Maltesers,Chocolates & Sweets,1.278,1.252,1.198
Double Fingers Mars,Chocolates & Sweets,0.750,0.772,0.716
Mini Bag M&Ms,Chocolates & Sweets,0.192,0.197,0.188
Chocolate Balls Twix,Chocolates & Sweets,0.795,0.789,0.729
Double Fingers Twix,Chocolates & Sweets,0.745,0.726,0.690
Milk Chocolate Mars,Chocolates & Sweets,0.228,0.223,0.211
Double Fingers Toblerone,Chocolates & Sweets,0.886,0.853,0.849
Medium Bar Mars,Chocolates & Sweets,0.810,0.796,0.810
Medium Bar Toblerone,Chocolates & Sweets,0.992,0.988,0.954
Double Fingers Twix,Chocolates & Sweets,0.683,0.651,0.647
Single Piece Bounty,Chocolates & Sweets,0.457,0.469,0.453
Single Piece M&Ms,Chocolates & Sweets,0.870,0.887,0.794
Double Fingers M&Ms,Chocolates & Sweets,0.319,0.323,0.296
Single Piece Maltesers,Chocolates & Sweets,0.351,0.346,0.350
Mini Bag Toblerone,Chocolates & Sweets,1.316,1.312,1.234
Regular Fingers Galaxy,Chocolates & Sweets,0.910,0.897,0.874
Large Bar Flake,Chocolates & Sweets,0.929,0.947,0.927
Large Bar Snickers,Chocolates & Sweets,0.963,0.960,0.944
With Caramel Mars,Chocolates & Sweets,0.230,0.219,0.222
With Hazelnut KitKat,Chocolates & Sweets,0.234,0.239,0.221
Medium Bar Cadbury,Chocolates & Sweets,0.794,0.798,0.772
Milk Chocolate Galaxy,Chocolates & Sweets,0.331,0.322,0.310
With Caramel Snickers,Chocolates & Sweets,0.526,0.509,0.524
Large Bar Mars,Chocolates & Sweets,0.421,0.433,0.383
Large Bar Cadbury,Chocolates & Sweets,1.146,1.165,1.116
With Hazelnut Twix,Chocolates & Sweets,1.415,1.437,1.388
Mini Bag KitKat,Chocolates & Sweets,1.095,1.049,1.029
Mini Bag Snickers,Chocolates & Sweets,0.700,0.669,0.654
Medium Bar Mars,Chocolates & Sweets,0.158,0.151,0.156
With Hazelnut Snickers,Chocolates & Sweets,0.302,0.307,0.279
Medium Bar Galaxy,Chocolates & Sweets,0.248,0.244,0.231
Medium Bar Toblerone,Chocolates & Sweets,0.529,0.537,0.525
Single Piece Cadbury,Chocolates & Sweets,0.584,0.577,0.539
Chocolate Balls Flake,Chocolates & Sweets,0.195,0.189,0.184
Single Piece Flake,Chocolates & Sweets,0.404,0.407,0.399
Milk Chocolate Maltesers,Chocolates & Sweets,1.259,1.252,1.213
Medium Bar Snickers,Chocolates & Sweets,1.114,1.132,1.092
Mini Bag Galaxy,Chocolates & Sweets,0.343,0.347,0.318
Medium Bar Cadbury,Chocolates & Sweets,0.331,0.331,0.300
Regular Fingers Toblerone,Chocolates & Sweets,0.579,0.550,0.551
Medium Bar Maltesers,Chocolates & Sweets,0.523,0.526,0.474
With Hazelnut Snickers,Chocolates & Sweets,0.155,0.150,0.151
With Caramel Toblerone,Chocolates & Sweets,0.636,0.618,0.626
Mini Bag Toblerone,Chocolates & Sweets,1.215,1.241,1.146
Single Piece KitKat,Chocolates & Sweets,0.659,0.677,0.599
Double Fingers Maltesers,Chocolates & Sweets,0.817,0.801,0.787
Double Fingers Kinder,Chocolates & Sweets,0.156,0.150,0.152
Regular Fingers Twix,Chocolates & Sweets,0.526,0.505,0.509
With Caramel Flake,Chocolates & Sweets,0.292,0.296,0.282
Regular Fingers Maltesers,Chocolates & Sweets,0.636,0.653,0.604
Large Bar Flake,Chocolates & Sweets,0.768,0.742,0.720
With Caramel Toblerone,Chocolates & Sweets,0.221,0.224,0.208
Medium Bar Bounty,Chocolates & Sweets,0.436,0.437,0.413
Single Piece Kinder,Chocolates & Sweets,0.441,0.443,0.424
With Caramel Snickers,Chocolates & Sweets,0.334,0.335,0.325
Single Piece Toblerone,Chocolates & Sweets,1.021,1.002,0.992
Regular Fingers Galaxy,Chocolates & Sweets,1.352,1.315,1.267
Regular Fingers Flake,Chocolates & Sweets,0.301,0.298,0.279
Milk Chocolate Twix,Chocolates & Sweets,0.170,0.167,0.159
Regular Fingers Galaxy,Chocolates & Sweets,0.318,0.313,0.302
Regular Fingers Galaxy,Chocolates & Sweets,1.373,1.334,1.335
Cardamom Digestive,Biscuits & Cookies,0.194,0.190,0.189
Choco Cream Loacker,Biscuits & Cookies,0.697,0.717,0.636
Cheese Pascal,Biscuits & Cookies,0.959,0.973,0.875
Chocolate Coated Ulker,Biscuits & Cookies,0.168,0.164,0.164
Chocolate Coated Tim Tam,Biscuits & Cookies,0.516,0.506,0.464
Sesame Destiny,Biscuits & Cookies,0.829,0.852,0.816
Small Size Digestive,Biscuits & Cookies,0.972,0.984,0.919
Cardamom Ulker,Biscuits & Cookies,1.094,1.101,1.087
Chocolate Coated McVitie's,Biscuits & Cookies,0.855,0.852,0.854
Sesame Loacker,Biscuits & Cookies,0.707,0.708,0.682
Dates Mix,Biscuits & Cookies,0.534,0.517,0.491
Family Pack Tim Tam,Biscuits & Cookies,0.804,0.814,0.770
Sesame Destiny,Biscuits & Cookies,0.704,0.720,0.645
Choco Cream Destiny,Biscuits & Cookies,0.512,0.524,0.476
Family Pack Mix,Biscuits & Cookies,1.085,1.092,0.983
Vanilla Oreo,Biscuits & Cookies,0.158,0.158,0.149
Choco Cream Ulker,Biscuits & Cookies,1.156,1.147,1.068
Sesame Tim Tam,Biscuits & Cookies,1.160,1.160,1.152
Cheese McVitie's,Biscuits & Cookies,0.339,0.334,0.324
Small Size Ulker,Biscuits & Cookies,0.370,0.353,0.364
Vanilla Destiny,Biscuits & Cookies,1.046,1.014,1.042
Plain Marie,Biscuits & Cookies,0.673,0.661,0.670
Sesame Digestive,Biscuits & Cookies,0.609,0.607,0.553
Vanilla Ulker,Biscuits & Cookies,1.180,1.139,1.156
Vanilla Destiny,Biscuits & Cookies,0.883,0.867,0.879
Chocolate Coated McVitie's,Biscuits & Cookies,0.562,0.572,0.549
Choco Cream Marie,Biscuits & Cookies,0.631,0.639,0.628
Dates McVitie's,Biscuits & Cookies,1.048,1.046,1.031
Sesame Marie,Biscuits & Cookies,0.546,0.543,0.535
Small Size Pascal,Biscuits & Cookies,0.998,0.962,0.950
Dates Destiny,Biscuits & Cookies,0.600,0.571,0.569
Cardamom Tim Tam,Biscuits & Cookies,0.453,0.445,0.449
Choco Cream Ritz,Biscuits & Cookies,0.197,0.199,0.185
Cardamom Marie,Biscuits & Cookies,0.942,0.964,0.937
Cheese Destiny,Biscuits & Cookies,0.525,0.532,0.486
Sesame Marie,Biscuits & Cookies,0.527,0.528,0.487
Cheese Tim Tam,Biscuits & Cookies,1.114,1.067,1.059
Family Pack Destiny,Biscuits & Cookies,0.191,0.182,0.175
Small Size McVitie's,Biscuits & Cookies,0.447,0.459,0.428
Small Size Destiny,Biscuits & Cookies,0.759,0.752,0.741
Chocolate Coated Ritz,Biscuits & Cookies,1.089,1.117,1.077
Cardamom Pascal,Biscuits & Cookies,1.014,1.035,0.968
Family Pack Parle,Biscuits & Cookies,0.460,0.459,0.416
Cardamom Digestive,Biscuits & Cookies,0.460,0.469,0.435
Small Size Parle,Biscuits & Cookies,0.200,0.202,0.195
Cheese Parle,Biscuits & Cookies,1.016,1.007,0.961
Small Size Pascal,Biscuits & Cookies,0.455,0.466,0.427
Family Pack Pascal,Biscuits & Cookies,0.150,0.147,0.143
Family Pack Pascal,Biscuits & Cookies,1.172,1.135,1.090
Plain Marie,Biscuits & Cookies,1.077,1.028,0.990
Dates Mix,Biscuits & Cookies,0.918,0.919,0.864
Cheese Loacker,Biscuits & Cookies,0.468,0.457,0.455
Plain Destiny,Biscuits & Cookies,0.341,0.334,0.338
Cardamom Ulker,Biscuits & Cookies,1.184,1.196,1.112
Small Size Pascal,Biscuits & Cookies,0.844,0.807,0.806
Vanilla Tim Tam,Biscuits & Cookies,0.970,0.967,0.965
Dates Tim Tam,Biscuits & Cookies,0.429,0.428,0.399
Sesame Digestive,Biscuits & Cookies,0.738,0.747,0.716
Cardamom Ritz,Biscuits & Cookies,1.171,1.154,1.073
Dates Loacker,Biscuits & Cookies,1.117,1.123,1.087
Choco Cream Digestive,Biscuits & Cookies,0.182,0.174,0.166
Dates Ulker,Biscuits & Cookies,0.848,0.816,0.773
Chocolate Coated Oreo,Biscuits & Cookies,0.727,0.709,0.689
Cardamom Marie,Biscuits & Cookies,0.554,0.527,0.545
Cheese Parle,Biscuits & Cookies,0.797,0.811,0.725
Plain Parle,Biscuits & Cookies,0.892,0.886,0.851
Choco Cream Pascal,Biscuits & Cookies,0.474,0.469,0.432
Plain Ritz,Biscuits & Cookies,0.566,0.544,0.558
Cardamom Marie,Biscuits & Cookies,0.806,0.786,0.791
Sesame Digestive,Biscuits & Cookies,0.224,0.218,0.223
Chocolate Coated McVitie's,Biscuits & Cookies,1.101,1.047,1.065
Choco Cream Mix,Biscuits & Cookies,0.726,0.706,0.676
Choco Cream Destiny,Biscuits & Cookies,1.132,1.114,1.118
Dates Pascal,Biscuits & Cookies,0.409,0.400,0.372
Plain Digestive,Biscuits & Cookies,0.861,0.823,0.793
Cardamom Loacker,Biscuits & Cookies,1.181,1.196,1.150
Chocolate Coated Loacker,Biscuits & Cookies,0.589,0.595,0.536
Vanilla Parle,Biscuits & Cookies,1.138,1.164,1.026
Choco Cream Tim Tam,Biscuits & Cookies,0.258,0.256,0.257
Sesame Digestive,Biscuits & Cookies,0.349,0.348,0.321
Chocolate Coated Oreo,Biscuits & Cookies,0.427,0.413,0.405
Small Size McVitie's,Biscuits & Cookies,0.840,0.863,0.807
Dates Loacker,Biscuits & Cookies,0.222,0.219,0.215
Cardamom Ritz,Biscuits & Cookies,0.247,0.246,0.238
Plain Ulker,Biscuits & Cookies,0.542,0.539,0.512
Family Pack Ulker,Biscuits & Cookies,0.702,0.681,0.632
Choco Cream Marie,Biscuits & Cookies,0.273,0.269,0.262
Dates Destiny,Biscuits & Cookies,1.136,1.080,1.110
Vanilla Marie,Biscuits & Cookies,0.542,0.517,0.522
Chocolate Coated Marie,Biscuits & Cookies,0.416,0.410,0.414
Family Pack Marie,Biscuits & Cookies,1.032,0.996,0.998
Choco Cream Ulker,Biscuits & Cookies,0.673,0.679,0.628
Sesame Marie,Biscuits & Cookies,1.110,1.093,1.028
Family Pack Destiny,Biscuits & Cookies,0.610,0.628,0.563
Family Pack Destiny,Biscuits & Cookies,0.854,0.859,0.786
Choco Cream Loacker,Biscuits & Cookies,1.009,0.963,1.000
Family Pack Oreo,Biscuits & Cookies,0.167,0.160,0.166
Vanilla Destiny,Biscuits & Cookies,0.919,0.918,0.889
Chocolate Coated McVitie's,Biscuits & Cookies,1.030,1.045,1.012
Small Size Destiny,Biscuits & Cookies,0.360,0.360,0.351
Small Size Parle,Biscuits & Cookies,0.222,0.217,0.220
Family Pack Ulker,Biscuits & Cookies,0.500,0.510,0.496
Family Pack Pascal,Biscuits & Cookies,0.187,0.189,0.176
Dates Tim Tam,Biscuits & Cookies,0.599,0.590,0.578
Vanilla Pascal,Biscuits & Cookies,1.016,0.989,0.960
Cardamom Digestive,Biscuits & Cookies,0.770,0.757,0.729
Cardamom Parle,Biscuits & Cookies,0.371,0.361,0.360
Vanilla Ulker,Biscuits & Cookies,0.579,0.593,0.528
Choco Cream Pascal,Biscuits & Cookies,0.345,0.346,0.341
Plain Marie,Biscuits & Cookies,0.266,0.259,0.248
Small Size Mix,Biscuits & Cookies,0.731,0.709,0.712
Cardamom Tim Tam,Biscuits & Cookies,1.066,1.083,0.982
Sesame Loacker,Biscuits & Cookies,0.493,0.482,0.469
Choco Cream Loacker,Biscuits & Cookies,0.485,0.496,0.440
Chocolate Coated Ritz,Biscuits & Cookies,0.354,0.361,0.343
Chocolate Coated Oreo,Biscuits & Cookies,0.635,0.624,0.572
Sesame Digestive,Biscuits & Cookies,0.582,0.587,0.546
Choco Cream Loacker,Biscuits & Cookies,0.928,0.946,0.885
Vanilla Mix,Biscuits & Cookies,0.462,0.459,0.432
Cheese Destiny,Biscuits & Cookies,1.076,1.033,1.037
Cardamom Ritz,Biscuits & Cookies,0.274,0.265,0.255
Chocolate Coated Loacker,Biscuits & Cookies,0.406,0.394,0.379
Small Size Mix,Biscuits & Cookies,0.797,0.793,0.750
Plain Oreo,Biscuits & Cookies,0.863,0.848,0.842
Vanilla McVitie's,Biscuits & Cookies,0.583,0.594,0.562
Sesame Oreo,Biscuits & Cookies,0.273,0.267,0.250
Choco Cream Tim Tam,Biscuits & Cookies,0.367,0.360,0.363
Cheese Loacker,Biscuits & Cookies,0.683,0.672,0.616
Family Pack Oreo,Biscuits & Cookies,0.857,0.842,0.847
Cheese Destiny,Biscuits & Cookies,0.416,0.396,0.404
Small Size Parle,Biscuits & Cookies,1.028,1.044,1.012
Plain Ritz,Biscuits & Cookies,0.450,0.447,0.428
Vanilla Ritz,Biscuits & Cookies,0.575,0.569,0.518
Small Size Digestive,Biscuits & Cookies,0.166,0.161,0.153
Dates Parle,Biscuits & Cookies,0.653,0.630,0.636
Cardamom Mix,Biscuits & Cookies,0.831,0.794,0.779
Cardamom Ulker,Biscuits & Cookies,1.197,1.191,1.116
Plain Ritz,Biscuits & Cookies,0.518,0.508,0.470
Cardamom Marie,Biscuits & Cookies,0.198,0.194,0.197
Vanilla Destiny,Biscuits & Cookies,0.845,0.835,0.761
Vanilla Mix,Biscuits & Cookies,0.961,0.955,0.871
Family Pack Parle,Biscuits & Cookies,0.763,0.773,0.744
Cheese Loacker,Biscuits & Cookies,0.946,0.900,0.871
Chocolate Coated Mix,Biscuits & Cookies,0.846,0.827,0.794
Choco Cream Tim Tam,Biscuits & Cookies,0.421,0.420,0.397
Cardamom Tim Tam,Biscuits & Cookies,1.045,1.038,1.020
Cheese Mix,Biscuits & Cookies,0.586,0.590,0.550
Family Pack Parle,Biscuits & Cookies,0.404,0.391,0.381
Cheese Mix,Biscuits & Cookies,0.682,0.658,0.619
Vanilla McVitie's,Biscuits & Cookies,0.552,0.561,0.533
Dates Oreo,Biscuits & Cookies,0.710,0.711,0.692
Sesame Oreo,Biscuits & Cookies,0.879,0.850,0.843
Cheese Ulker,Biscuits & Cookies,0.845,0.858,0.826
Chocolate Coated Loacker,Biscuits & Cookies,0.347,0.332,0.337
Choco Cream Mix,Biscuits & Cookies,0.604,0.575,0.559
Sesame Ulker,Biscuits & Cookies,1.083,1.100,1.043
Dates McVitie's,Biscuits & Cookies,0.600,0.580,0.571
Small Size Loacker,Biscuits & Cookies,0.850,0.814,0.829
Dates Oreo,Biscuits & Cookies,0.892,0.916,0.877
Cheese Mix,Biscuits & Cookies,0.156,0.154,0.149
Plain Oreo,Biscuits & Cookies,0.174,0.170,0.170
Sesame Destiny,Biscuits & Cookies,0.394,0.375,0.385
Choco Cream McVitie's,Biscuits & Cookies,0.950,0.905,0.935
Cheese Destiny,Biscuits & Cookies,0.742,0.742,0.732
Plain Tim Tam,Biscuits & Cookies,0.760,0.782,0.742
Vanilla Destiny,Biscuits & Cookies,0.893,0.876,0.824
Chocolate Coated Ritz,Biscuits & Cookies,1.125,1.152,1.051
Sesame Pascal,Biscuits & Cookies,1.195,1.229,1.153
Cheese Oreo,Biscuits & Cookies,0.901,0.899,0.816
Vanilla Destiny,Biscuits & Cookies,0.531,0.541,0.484
Sesame Destiny,Biscuits & Cookies,0.813,0.776,0.784
Family Pack Digestive,Biscuits & Cookies,0.223,0.222,0.217
Cardamom Loacker,Biscuits & Cookies,0.585,0.565,0.529
Choco Cream McVitie's,Biscuits & Cookies,1.029,0.992,0.928
Chocolate Coated Oreo,Biscuits & Cookies,0.330,0.325,0.312
Dates Marie,Biscuits & Cookies,0.713,0.705,0.670
Sesame McVitie's,Biscuits & Cookies,1.025,1.026,0.931
Small Size Destiny,Biscuits & Cookies,0.250,0.249,0.243
Cheese Parle,Biscuits & Cookies,0.239,0.239,0.236
Chocolate Coated Destiny,Biscuits & Cookies,0.677,0.696,0.656
Sesame Destiny,Biscuits & Cookies,0.990,1.011,0.903
Cardamom Ritz,Biscuits & Cookies,0.377,0.379,0.362
Small Size Digestive,Biscuits & Cookies,1.138,1.152,1.039
Chocolate Coated Mix,Biscuits & Cookies,0.607,0.596,0.587
Plain Tim Tam,Biscuits & Cookies,0.729,0.739,0.686
Vanilla Tim Tam,Biscuits & Cookies,0.649,0.619,0.645
Sesame Marie,Biscuits & Cookies,0.706,0.726,0.647
Small Size Parle,Biscuits & Cookies,0.159,0.153,0.146
Small Size Parle,Biscuits & Cookies,0.286,0.278,0.268
Sesame Marie,Biscuits & Cookies,0.329,0.336,0.322
Small Size Ulker,Biscuits & Cookies,0.313,0.299,0.297
Sesame Loacker,Biscuits & Cookies,0.652,0.660,0.607
Plain Parle,Biscuits & Cookies,0.153,0.147,0.151
Chocolate Coated Oreo,Biscuits & Cookies,1.183,1.161,1.149
Small Size Pascal,Biscuits & Cookies,0.532,0.514,0.497
Plain McVitie's,Biscuits & Cookies,1.191,1.195,1.096
Chocolate Coated Loacker,Biscuits & Cookies,0.741,0.749,0.737
Sesame Tim Tam,Biscuits & Cookies,0.664,0.670,0.630
Dates Mix,Biscuits & Cookies,1.030,1.008,1.016
Chocolate Coated McVitie's,Biscuits & Cookies,0.883,0.868,0.840
Fresh Cream 100g Nada,Dairy & Cheese,2.241,2.276,2.131
Turkish Labneh 400g Amoo,Dairy & Cheese,1.301,1.303,1.201
Greek Yogurt 150g Al Ain,Dairy & Cheese,1.025,1.028,0.937
Greek Yogurt 150g Pinar,Dairy & Cheese,0.585,0.569,0.539
Low Fat Milk 1L Pinar,Dairy & Cheese,2.272,2.268,2.176
Greek Yogurt 150g Al Ain,Dairy & Cheese,1.022,1.035,0.946
Chocolate Milk 180ml President,Dairy & Cheese,2.251,2.199,2.190
Unsalted Butter 100g Danone,Dairy & Cheese,2.473,2.354,2.288
Triangle Cheese 8s Danone,Dairy & Cheese,1.377,1.373,1.343
Low Fat Milk 1L President,Dairy & Cheese,0.276,0.271,0.255
Full Cream Milk 1L Tatweej,Dairy & Cheese,1.453,1.404,1.350
Low Fat Milk 1L Nada,Dairy & Cheese,2.379,2.440,2.286
Triangle Cheese 8s Kraft,Dairy & Cheese,1.997,1.991,1.799
Jar Cheese 500g Amul,Dairy & Cheese,1.801,1.800,1.758
Unsalted Butter 100g Almarai,Dairy & Cheese,2.499,2.528,2.349
Fresh Cream 100g Nadec,Dairy & Cheese,1.735,1.754,1.569
Greek Yogurt 150g Almarai,Dairy & Cheese,0.683,0.685,0.647
Ayran Laban 250ml Amul,Dairy & Cheese,0.268,0.255,0.256
Jar Cheese 500g Tatweej,Dairy & Cheese,2.122,2.043,1.915
Jar Cheese 500g Nadec,Dairy & Cheese,0.940,0.928,0.919
Jar Cheese 500g Amoo,Dairy & Cheese,0.594,0.608,0.576
Greek Yogurt 150g Kraft,Dairy & Cheese,0.620,0.592,0.593
Full Cream Milk 1L Almarai,Dairy & Cheese,0.707,0.710,0.676
Greek Yogurt 150g Al Ain,Dairy & Cheese,1.060,1.013,0.956
Fresh Laban 500ml Al Diwan,Dairy & Cheese,0.356,0.346,0.335
Full Cream Milk 1L Nada,Dairy & Cheese,0.931,0.906,0.842
Turkish Labneh 400g Al Ain,Dairy & Cheese,1.554,1.558,1.428
Low Fat Milk 1L Amul,Dairy & Cheese,1.606,1.603,1.527
Triangle Cheese 8s Pinar,Dairy & Cheese,2.295,2.243,2.170
Full Cream Milk 1L President,Dairy & Cheese,1.810,1.810,1.808
Turkish Labneh 400g President,Dairy & Cheese,0.949,0.908,0.896
Triangle Cheese 8s Almarai,Dairy & Cheese,0.957,0.973,0.951
Greek Yogurt 150g Nada,Dairy & Cheese,1.025,1.050,0.929
Greek Yogurt 150g Amoo,Dairy & Cheese,1.549,1.490,1.544
Low Fat Milk 1L Amoo,Dairy & Cheese,0.595,0.565,0.539
Triangle Cheese 8s Amoo,Dairy & Cheese,1.672,1.625,1.534
Ayran Laban 250ml Nada,Dairy & Cheese,0.420,0.431,0.411
Turkish Labneh 400g Al Diwan,Dairy & Cheese,2.183,2.117,2.121
Low Fat Milk 1L Al Ain,Dairy & Cheese,2.255,2.306,2.100
Full Cream Milk 1L Al Ain,Dairy & Cheese,1.184,1.194,1.177
